book_id,year_group,pop_group,author_group
1,New,4,Author
2,Old,4,Author
3,New,3,Author
4,Old,4,Author
5,Old,3,Author
6,New,4,Author
7,Old,4,Author
8,Old,3,Author
9,New,3,Author
10,Old,4,Author
11,New,4,Author
12,New,4,Author
13,Old,4,Author
14,Old,3,Author
15,Old,4,Author
16,New,4,Author
17,New,4,Author
18,Old,4,Author
19,Old,4,Author
20,New,4,Author
21,New,4,Author
22,New,3,Author
23,Old,4,Author
24,New,4,Author
25,New,4,Author
26,New,3,Author
27,New,4,Author
28,Old,3,Author
29,Old,3,Author
30,New,4,Author
31,New,4,Author
32,Old,3,Author
33,Old,4,Author
34,New,3,Author
35,Old,3,Author
36,Old,4,Author
37,Old,4,TopAuthor
38,New,3,Author
39,Old,4,Author
40,New,3,Author
41,New,4,TopAuthor
42,Old,4,Author
43,Old,4,Author
44,Old,4,TopAuthor
45,New,3,Author
46,New,4,Author
47,New,4,Author
48,Old,3,Author
49,New,3,Author
50,Old,4,Author
51,New,4,Author
52,New,3,Author
53,New,3,Author
54,Old,4,Author
55,Old,3,Author
56,New,3,Author
57,New,4,Author
58,Old,3,Author
59,Old,4,Author
60,New,3,Author
61,New,3,Author
62,Old,3,Author
63,Old,3,Author
64,New,4,TopAuthor
65,Old,4,TopAuthor
66,Old,4,Author
67,New,4,Author
68,Old,4,Author
69,New,4,Author
70,Old,4,TopAuthor
71,Old,3,Author
72,Old,4,TopAuthor
73,New,3,Author
74,New,4,Author
75,Old,3,Author
76,Old,4,Author
77,Old,3,Author
78,New,3,Author
79,Old,3,Author
80,Old,4,Author
81,New,4,Author
82,Old,3,Author
83,Old,3,Author
84,Old,3,Author
85,Old,4,Author
86,Old,4,TopAuthor
87,Old,4,Author
88,New,3,Author
89,Old,4,Author
90,Old,4,Author
91,New,4,Author
92,New,3,Author
93,Old,4,Author
94,Old,4,Author
95,Old,4,Author
96,New,3,Author
97,Old,3,Author
98,New,4,Author
99,New,3,Author
100,Old,4,Author
101,New,3,Author
102,Old,4,Author
103,Old,4,Author
104,New,3,Author
105,New,3,Author
106,New,3,Author
107,Old,4,TopAuthor
108,New,3,Author
109,Old,4,Author
110,Old,4,Author
111,New,3,Author
112,New,4,Author
113,Old,3,Author
114,Old,4,Author
115,New,3,Author
116,Old,3,Author
117,Old,4,Author
118,Old,3,Author
119,Old,4,Author
120,New,3,Author
121,Old,3,Author
122,Old,3,Author
123,Old,3,TopAuthor
124,New,4,Author
125,Old,4,Author
126,Old,4,Author
127,New,3,Author
128,New,4,Author
129,Old,4,Author
130,Old,3,Author
131,Old,3,Author
132,New,3,Author
133,Old,4,Author
134,New,4,Author
135,New,4,Author
136,Old,3,Author
137,Old,4,Author
138,Old,3,Author
139,New,3,Author
140,New,4,Author
141,New,4,Author
142,Old,4,TopAuthor
143,New,4,Author
144,New,4,Author
145,New,3,Author
146,New,3,Author
147,New,4,Author
148,Old,3,Author
149,New,3,Author
150,Old,4,Author
151,New,4,TopAuthor
152,New,4,TopAuthor
153,New,4,Author
154,Old,3,Author
155,Old,4,Author
156,New,3,Author
157,Old,4,Author
158,Old,4,Author
159,New,4,TopAuthor
160,Old,3,Author
161,Old,4,Author
162,Old,3,Author
163,New,4,TopAuthor
164,New,4,Author
165,New,4,Author
166,New,3,Author
167,New,4,Author
168,Old,4,Author
169,New,4,TopAuthor
170,Old,3,Author
171,Old,3,Author
172,Old,4,Author
173,Old,3,Author
174,New,3,Author
175,New,4,TopAuthor
176,Old,4,TopAuthor
177,Old,4,Author
178,Old,3,Author
179,Old,4,Author
180,Old,3,Author
181,Old,4,Author
182,New,3,Author
183,New,4,Author
184,Old,4,Author
185,New,4,Author
186,New,4,Author
187,New,3,Author
188,New,4,Author
189,Old,4,Author
190,New,3,Author
191,Old,4,Author
192,New,4,Author
193,New,4,Author
194,Old,3,Author
195,New,4,Author
196,Old,4,Author
197,New,3,TopAuthor
198,Old,4,Author
199,New,4,Author
200,Old,4,TopAuthor
201,New,3,Author
202,New,4,Author
203,New,4,Author
204,Old,4,Author
205,Old,3,TopAuthor
206,New,4,Author
207,Old,4,TopAuthor
208,New,4,Author
209,Old,4,Author
210,New,4,TopAuthor
211,New,3,Author
212,New,3,Author
213,Old,3,Author
214,New,4,TopAuthor
215,New,4,Author
216,New,4,Author
217,New,3,Author
218,New,4,Author
219,Old,4,Author
220,Old,4,Author
221,Old,4,Author
222,Old,3,Author
223,New,3,Author
224,New,3,Author
225,Old,4,Author
226,New,3,Author
227,Old,3,TopAuthor
228,New,3,Author
229,Old,4,Author
230,Old,4,Author
231,New,4,Author
232,Old,3,TopAuthor
233,Old,3,Author
234,Old,4,Author
235,New,3,Author
236,Old,4,Author
237,Old,3,TopAuthor
238,New,3,Author
239,New,4,Author
240,New,3,Author
241,Old,4,Author
242,Old,4,TopAuthor
243,Old,4,TopAuthor
244,New,3,Author
245,Old,3,Author
246,New,3,Author
247,Old,4,Author
248,Old,3,Author
249,New,3,Author
250,New,4,Author
251,Old,4,TopAuthor
252,New,4,Author
253,New,3,Author
254,New,3,Author
255,Old,3,Author
256,New,3,Author
257,Old,4,Author
258,New,4,Author
259,New,3,Author
260,Old,4,Author
261,Old,3,Author
262,New,4,Author
263,Old,3,Author
264,Old,3,Author
265,Old,4,Author
266,Old,3,TopAuthor
267,New,4,Author
268,New,3,Author
269,New,4,Author
270,Old,4,Author
271,Old,4,Author
272,Old,3,Author
273,New,4,Author
274,Old,4,Author
275,New,3,Author
276,Old,4,TopAuthor
277,New,3,Author
278,Old,4,Author
279,New,3,Author
280,New,3,Author
281,Old,3,TopAuthor
282,New,4,Author
283,Old,4,Author
284,Old,3,Author
285,New,4,Author
286,New,4,TopAuthor
287,Old,3,Author
288,Old,4,Author
289,Old,4,Author
290,New,3,Author
291,New,4,Author
292,Old,4,Author
293,Old,3,Author
294,New,4,TopAuthor
295,New,4,TopAuthor
296,Old,4,Author
297,Old,4,TopAuthor
298,Old,3,Author
299,New,4,Author
300,New,4,Author
301,Old,3,Author
302,New,4,TopAuthor
303,New,3,Author
304,Old,4,Author
305,Old,3,TopAuthor
306,Old,3,Author
307,New,4,Author
308,New,3,Author
309,New,4,Author
310,New,3,Author
311,Old,4,Author
312,New,4,Author
313,New,4,Author
314,New,3,Author
315,Old,3,Author
316,Old,4,Author
317,Old,4,Author
318,New,4,Author
319,New,4,Author
320,New,3,Author
321,Old,4,Author
322,Old,4,Author
323,Old,4,Author
324,New,4,Author
325,Old,4,Author
326,Old,3,Author
327,New,4,Author
328,New,4,TopAuthor
329,New,4,Author
330,Old,4,Author
331,Old,4,TopAuthor
332,Old,4,TopAuthor
333,New,4,Author
334,New,4,Author
335,Old,3,Author
336,New,4,TopAuthor
337,Old,4,Author
338,New,3,Author
339,Old,4,Author
340,New,3,Author
341,Old,3,Author
342,New,3,Author
343,Old,3,TopAuthor
344,Old,4,Author
345,New,3,Author
346,Old,3,Author
347,Old,3,TopAuthor
348,New,3,Author
349,Old,3,TopAuthor
350,Old,4,Author
351,New,4,Author
352,New,3,Author
353,Old,3,Author
354,Old,3,Author
355,New,4,Author
356,Old,3,Author
357,Old,3,Author
358,Old,4,TopAuthor
359,New,4,Author
360,Old,4,Author
361,Old,3,Author
362,Old,4,TopAuthor
363,New,4,Author
364,Old,4,TopAuthor
365,Old,4,Author
366,New,4,Author
367,New,3,TopAuthor
368,Old,4,Author
369,New,3,Author
370,New,4,TopAuthor
371,Old,3,Author
372,New,4,Author
373,Old,4,Author
374,New,4,Author
375,Old,3,Author
376,New,3,Author
377,Old,4,Author
378,New,3,Author
379,New,3,Author
380,Old,4,Author
381,Old,4,Author
382,New,3,Author
383,New,3,Author
384,New,4,TopAuthor
385,New,4,Author
386,Old,3,Author
387,Old,3,Author
388,Old,3,Author
389,New,4,TopAuthor
390,Old,3,Author
391,Old,4,TopAuthor
392,New,3,Author
393,New,4,Author
394,New,4,TopAuthor
395,Old,3,Author
396,New,3,Author
397,Old,4,Author
398,New,3,Author
399,New,4,Author
400,Old,3,Author
401,Old,3,Author
402,Old,4,Author
403,Old,3,Author
404,New,3,Author
405,Old,4,TopAuthor
406,Old,3,Author
407,New,3,Author
408,Old,4,Author
409,Old,4,Author
410,Old,3,Author
411,New,3,Author
412,Old,4,Author
413,Old,4,Author
414,New,3,Author
415,New,3,Author
416,Old,4,Author
417,New,3,Author
418,New,4,TopAuthor
419,New,4,TopAuthor
420,Old,3,TopAuthor
421,New,3,Author
422,Old,4,Author
423,New,4,Author
424,Old,4,Author
425,Old,3,Author
426,Old,3,Author
427,Old,4,Author
428,New,4,TopAuthor
429,Old,3,TopAuthor
430,New,4,Author
431,Old,4,Author
432,Old,4,TopAuthor
433,New,4,TopAuthor
434,New,4,Author
435,New,3,Author
436,Old,3,Author
437,New,4,Author
438,New,4,Author
439,Old,4,Author
440,New,4,TopAuthor
441,New,3,TopAuthor
442,Old,4,Author
443,New,4,Author
444,Old,4,Author
445,New,3,Author
446,Old,4,Author
447,New,4,Author
448,New,3,Author
449,New,3,Author
450,New,4,TopAuthor
451,Old,3,Author
452,New,4,Author
453,Old,3,Author
454,Old,4,Author
455,New,3,Author
456,Old,3,Author
457,New,3,Author
458,New,4,Author
459,New,4,Author
460,New,4,Author
461,Old,3,Author
462,Old,3,Author
463,Old,4,Author
464,Old,4,Author
465,New,3,Author
466,Old,4,Author
467,New,3,Author
468,Old,3,Author
469,New,3,Author
470,New,4,Author
471,Old,3,Author
472,Old,4,Author
473,New,3,Author
474,New,3,Author
475,New,4,Author
476,Old,4,Author
477,Old,4,TopAuthor
478,Old,3,Author
479,Old,3,Author
480,New,4,Author
481,Old,4,Author
482,New,4,Author
483,Old,3,Author
484,New,3,Author
485,Old,4,Author
486,New,3,Author
487,Old,3,Author
488,Old,4,TopAuthor
489,Old,4,Author
490,Old,4,Author
491,New,3,Author
492,Old,4,TopAuthor
493,Old,4,TopAuthor
494,Old,4,Author
495,New,3,Author
496,Old,4,Author
497,Old,3,Author
498,Old,4,Author
499,Old,3,Author
500,New,3,TopAuthor
501,Old,3,Author
502,New,4,Author
503,Old,4,Author
504,Old,4,Author
505,Old,3,Author
506,New,4,Author
507,New,4,Author
508,New,3,Author
509,New,3,Author
510,Old,4,Author
511,Old,4,TopAuthor
512,Old,4,Author
513,Old,4,Author
514,Old,4,Author
515,Old,4,Author
516,New,4,Author
517,New,4,Author
518,Old,4,Author
519,New,3,Author
520,Old,4,Author
521,New,4,TopAuthor
522,New,4,Author
523,Old,4,Author
524,Old,3,Author
525,New,4,Author
526,New,3,Author
527,New,3,TopAuthor
528,Old,4,Author
529,Old,3,Author
530,Old,4,Author
531,Old,3,Author
532,Old,4,Author
533,New,3,Author
534,New,4,Author
535,New,4,Author
536,New,4,Author
537,New,4,Author
538,Old,3,Author
539,New,4,Author
540,Old,4,Author
541,New,4,Author
542,Old,3,TopAuthor
543,New,4,TopAuthor
544,Old,4,Author
545,Old,4,Author
546,Old,3,Author
547,Old,3,Author
548,New,3,Author
549,Old,4,Author
550,New,4,Author
551,New,3,Author
552,New,4,TopAuthor
553,Old,3,TopAuthor
554,Old,4,Author
555,Old,4,Author
556,Old,3,TopAuthor
557,Old,3,Author
558,New,4,TopAuthor
559,Old,3,Author
560,Old,3,Author
561,Old,4,Author
562,New,4,TopAuthor
563,New,4,TopAuthor
564,New,4,Author
565,New,4,TopAuthor
566,New,3,Author
567,New,4,Author
568,Old,4,Author
569,New,4,TopAuthor
570,Old,3,Author
571,New,4,TopAuthor
572,New,4,Author
573,Old,3,Author
574,New,4,Author
575,Old,3,Author
576,Old,3,Author
577,Old,3,Author
578,Old,3,Author
579,Old,4,Author
580,Old,3,Author
581,New,4,Author
582,Old,3,Author
583,New,4,Author
584,New,3,Author
585,New,4,Author
586,New,3,Author
587,New,3,Author
588,Old,4,Author
589,New,4,Author
590,Old,3,Author
591,New,4,Author
592,Old,4,Author
593,Old,3,Author
594,New,4,Author
595,Old,3,Author
596,Old,3,TopAuthor
597,Old,3,Author
598,Old,4,TopAuthor
599,Old,4,Author
600,New,3,Author
601,Old,4,Author
602,Old,3,Author
603,New,4,TopAuthor
604,Old,3,Author
605,New,3,Author
606,Old,3,Author
607,New,4,Author
608,Old,4,Author
609,New,3,TopAuthor
610,New,4,Author
611,Old,3,Author
612,Old,4,TopAuthor
613,New,4,Author
614,Old,3,Author
615,New,4,Author
616,New,3,TopAuthor
617,New,3,Author
618,Old,4,Author
619,New,4,Author
620,Old,4,Author
621,Old,3,Author
622,New,3,TopAuthor
623,New,3,TopAuthor
624,New,4,TopAuthor
625,Old,3,Author
626,Old,4,Author
627,Old,4,Author
628,Old,4,Author
629,Old,3,Author
630,New,3,Author
631,New,4,TopAuthor
632,New,4,Author
633,Old,3,Author
634,New,3,Author
635,Old,3,Author
636,New,4,Author
637,Old,4,Author
638,New,3,Author
639,Old,3,Author
640,New,3,Author
641,Old,4,TopAuthor
642,New,4,TopAuthor
643,New,3,Author
644,New,4,Author
645,New,3,Author
646,Old,3,Author
647,New,3,Author
648,New,4,Author
649,New,3,Author
650,Old,3,Author
651,Old,3,Author
652,New,4,TopAuthor
653,Old,4,Author
654,New,3,Author
655,New,3,Author
656,New,3,Author
657,New,3,Author
658,New,3,Author
659,Old,3,Author
660,Old,3,Author
661,Old,4,Author
662,Old,4,Author
663,Old,4,Author
664,Old,3,Author
665,New,4,Author
666,New,4,Author
667,New,4,Author
668,New,3,Author
669,Old,4,Author
670,Old,3,TopAuthor
671,Old,3,Author
672,Old,4,TopAuthor
673,New,4,Author
674,New,4,TopAuthor
675,Old,3,TopAuthor
676,New,4,Author
677,New,4,Author
678,New,3,Author
679,Old,4,Author
680,Old,4,Author
681,Old,4,Author
682,New,3,Author
683,New,4,TopAuthor
684,New,4,TopAuthor
685,New,3,Author
686,New,3,TopAuthor
687,New,4,Author
688,New,3,Author
689,New,3,Author
690,New,3,Author
691,Old,4,TopAuthor
692,New,4,Author
693,Old,3,Author
694,New,3,Author
695,New,4,Author
696,Old,4,TopAuthor
697,New,3,Author
698,New,4,Author
699,Old,3,Author
700,New,3,Author
701,Old,3,Author
702,New,3,Author
703,Old,3,TopAuthor
704,Old,4,Author
705,Old,3,Author
706,Old,3,Author
707,Old,3,Author
708,New,3,Author
709,Old,4,Author
710,New,3,Author
711,New,4,Author
712,Old,4,Author
713,New,4,Author
714,Old,3,Author
715,Old,3,Author
716,New,3,TopAuthor
717,New,4,Author
718,Old,3,Author
719,New,4,Author
720,New,4,Author
721,New,4,Author
722,Old,4,Author
723,New,4,Author
724,New,4,TopAuthor
725,Old,4,Author
