
===== GREEDY START =====

Step 1:
1: ΔU=7.000, ΔPen=-1, ΔMM=0.000, Score=117.000
2: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
3: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
4: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
5: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
6: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
7: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
8: ΔU=6.000, ΔPen=-1, ΔMM=0.000, Score=116.000
9: ΔU=5.000, ΔPen=-1, ΔMM=0.000, Score=115.000
10: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
11: ΔU=5.000, ΔPen=-1, ΔMM=0.000, Score=115.000
12: ΔU=5.000, ΔPen=-1, ΔMM=0.000, Score=115.000
13: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
14: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
15: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
16: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
17: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
18: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
19: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
20: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
21: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
22: ΔU=6.000, ΔPen=-1, ΔMM=0.000, Score=116.000
23: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
24: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
25: ΔU=4.000, ΔPen=-2, ΔMM=0.000, Score=224.000
26: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
27: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
28: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
29: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
30: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
31: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
32: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
33: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
34: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
35: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
36: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
37: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
38: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
39: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
40: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
41: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
42: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
43: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
44: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
45: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
46: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
47: ΔU=2.000, ΔPen=-2, ΔMM=0.000, Score=222.000
48: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
49: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
50: ΔU=19.000, ΔPen=-1, ΔMM=0.000, Score=129.000
51: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
52: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
53: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
54: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
55: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
56: ΔU=6.000, ΔPen=-1, ΔMM=0.000, Score=116.000
57: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
58: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
59: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
60: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
61: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
62: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
63: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
64: ΔU=13.000, ΔPen=-1, ΔMM=0.000, Score=123.000
65: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
66: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
67: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
68: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
69: ΔU=5.000, ΔPen=-2, ΔMM=0.000, Score=225.000
70: ΔU=2.000, ΔPen=-2, ΔMM=0.000, Score=222.000
71: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
72: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
73: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
74: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
75: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
76: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
77: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
78: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
79: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
80: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
81: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
82: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
83: ΔU=5.000, ΔPen=-2, ΔMM=0.000, Score=225.000
84: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
85: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
86: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
87: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
88: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
89: ΔU=5.000, ΔPen=-1, ΔMM=0.000, Score=115.000
90: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
91: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
92: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
93: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
94: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
95: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
96: ΔU=7.000, ΔPen=-1, ΔMM=0.000, Score=117.000
97: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
98: ΔU=10.000, ΔPen=-1, ΔMM=0.000, Score=120.000
99: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
100: ΔU=16.000, ΔPen=-1, ΔMM=0.000, Score=126.000
101: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
102: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
103: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
104: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
105: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
106: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
107: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
108: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
109: ΔU=3.000, ΔPen=-2, ΔMM=0.000, Score=223.000
110: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
111: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
112: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
113: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
114: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
115: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
116: ΔU=2.000, ΔPen=-2, ΔMM=0.000, Score=222.000
117: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
118: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
119: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
120: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
121: ΔU=6.000, ΔPen=-1, ΔMM=0.000, Score=116.000
122: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
123: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
124: ΔU=7.000, ΔPen=-1, ΔMM=0.000, Score=117.000
125: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
126: ΔU=4.000, ΔPen=-1, ΔMM=0.000, Score=114.000
127: ΔU=11.000, ΔPen=-1, ΔMM=0.000, Score=121.000
128: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
129: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
130: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
131: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
132: ΔU=5.000, ΔPen=-1, ΔMM=0.000, Score=115.000
133: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
134: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
135: ΔU=10.000, ΔPen=-1, ΔMM=0.000, Score=120.000
136: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
137: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
138: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
139: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
140: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
141: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
142: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
143: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
144: ΔU=3.000, ΔPen=-1, ΔMM=0.000, Score=113.000
145: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
146: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
147: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
148: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
149: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
150: ΔU=4.000, ΔPen=-2, ΔMM=0.000, Score=224.000
151: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
152: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
153: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
154: ΔU=3.000, ΔPen=-2, ΔMM=0.000, Score=223.000
155: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
156: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
157: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
158: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
159: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
160: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
161: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
162: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
163: ΔU=1.000, ΔPen=-2, ΔMM=0.000, Score=221.000
164: ΔU=1.000, ΔPen=-1, ΔMM=0.000, Score=111.000
165: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
166: ΔU=0.000, ΔPen=-1, ΔMM=0.000, Score=110.000
167: ΔU=0.000, ΔPen=-2, ΔMM=0.000, Score=220.000
168: ΔU=4.000, ΔPen=-2, ΔMM=0.000, Score=224.000
169: ΔU=2.000, ΔPen=-1, ΔMM=0.000, Score=112.000
