movie_id,final_genre,year_group
1,Animation,Old
2,Action,Old
3,Thriller,Old
4,Action,Old
5,Crime,Old
6,Drama,Old
7,Drama,Old
8,Children,Old
9,Drama,Old
10,Drama,Old
11,Crime,Old
12,Crime,Old
13,Comedy,Old
14,Drama,Old
15,Drama,Old
16,Comedy,Old
17,Action,New
18,Drama,Old
19,Drama,Old
20,Drama,Old
21,Action,New
22,Action,Old
23,Drama,Old
24,Action,Old
25,Comedy,New
26,Comedy,Old
27,Action,Old
28,Action,Old
29,Action,Old
30,Drama,Old
31,Drama,Old
32,Documentary,Old
33,Action,Old
34,Comedy,Old
35,Adventure,Old
36,Drama,Old
37,Drama,Old
38,Sci-Fi,Old
39,Action,Old
40,Comedy,Old
41,Comedy,Old
42,Comedy,Old
43,Drama,Old
44,Drama,Old
45,Comedy,Old
46,Drama,Old
47,Comedy,Old
48,Documentary,Old
49,Comedy,Old
50,Action,Old
51,Drama,Old
52,Drama,Old
53,Action,Old
54,Action,Old
55,Crime,Old
56,Crime,Old
57,Drama,Old
58,Drama,Old
59,Drama,Old
60,Drama,Old
61,Drama,Old
62,Action,Old
63,Children,Old
64,Drama,Old
65,Comedy,Old
66,Comedy,Old
67,Comedy,Old
68,Action,Old
69,Comedy,Old
70,Comedy,Old
71,Animation,Old
72,Comedy,Old
73,Action,Old
74,Action,Old
75,Documentary,Old
76,Crime,Old
77,Drama,Old
78,Adventure,Old
79,Action,Old
80,Action,Old
81,Comedy,Old
82,Action,Old
83,Comedy,Old
84,Horror,Old
85,Comedy,Old
86,Drama,Old
87,Drama,Old
88,Comedy,Old
89,Film-Noir,Old
90,Comedy,Old
91,Children,Old
92,Action,Old
93,Comedy,Old
94,Children,Old
95,Animation,Old
96,Action,Old
97,Adventure,Old
98,Drama,Old
99,Animation,Old
100,Crime,New
101,Action,Old
102,Animation,Old
103,Animation,New
104,Comedy,Old
105,Comedy,New
106,Drama,New
107,Drama,New
108,Comedy,New
109,Comedy,New
110,Action,Old
111,Comedy,New
112,Adventure,New
113,Drama,Old
114,Animation,New
115,Documentary,Old
116,Comedy,Old
117,Action,New
118,Action,New
119,Documentary,Old
120,Comedy,New
121,Action,New
122,Comedy,New
123,Comedy,New
